dpy,mental_state,personality,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
365,anxious,brave,vader_compound,8,5,-0.0423,0.0,0.0423,-0.0543,0.0008,0.0551,0.7129,-0.15,
365,anxious,cautious,tb_polarity,8,10,0.1429,0.0,-0.1429,0.0797,-0.0615,-0.1412,0.3195,0.2875,
365,anxious,cautious,vader_compound,8,10,-0.137,-0.0258,0.1112,-0.0161,-0.0145,0.0016,0.9645,-0.025,
365,anxious,curious,tb_polarity,15,13,0.0,0.0,0.0,-0.0311,-0.0143,0.0167,1.0,0.0051,
365,anxious,curious,vader_compound,15,13,0.0,0.0,0.0,-0.0963,0.0629,0.1592,0.6411,-0.1077,
365,anxious,empathetic,tb_polarity,10,7,0.017,-0.275,-0.292,-0.0207,-0.0959,-0.0752,0.3521,0.2857,
365,anxious,empathetic,vader_compound,10,7,-0.2688,0.0,0.2688,-0.1546,0.1608,0.3154,0.1519,-0.4286,
365,determined,aggressive,tb_polarity,1,1,,,,,,,,,insufficient data
365,determined,aggressive,vader_compound,1,1,,,,,,,,,insufficient data
365,determined,brave,tb_polarity,3,6,,,,,,,,,insufficient data
365,determined,brave,vader_compound,3,6,,,,,,,,,insufficient data
365,determined,cautious,tb_polarity,2,1,,,,,,,,,insufficient data
365,determined,cautious,vader_compound,2,1,,,,,,,,,insufficient data
365,determined,curious,tb_polarity,2,4,,,,,,,,,insufficient data
365,determined,curious,vader_compound,2,4,,,,,,,,,insufficient data
365,determined,empathetic,tb_polarity,2,0,,,,,,,,,insufficient data
365,determined,empathetic,vader_compound,2,0,,,,,,,,,insufficient data
365,hopeful,aggressive,tb_polarity,1,1,,,,,,,,,insufficient data
365,hopeful,aggressive,vader_compound,1,1,,,,,,,,,insufficient data
365,hopeful,brave,tb_polarity,3,1,,,,,,,,,insufficient data
365,hopeful,brave,vader_compound,3,1,,,,,,,,,insufficient data
365,hopeful,cautious,tb_polarity,12,3,,,,,,,,,insufficient data
365,hopeful,cautious,vader_compound,12,3,,,,,,,,,insufficient data
365,hopeful,curious,tb_polarity,6,2,,,,,,,,,insufficient data
365,hopeful,curious,vader_compound,6,2,,,,,,,,,insufficient data
365,hopeful,empathetic,tb_polarity,4,2,,,,,,,,,insufficient data
365,hopeful,empathetic,vader_compound,4,2,,,,,,,,,insufficient data
